Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
STU_10000,17,52,63,55,12.9,1
STU_10001,18,20,36,28,1.3,0
STU_10002,16,50,25,33,5.4,0
STU_10003,18,56,66,52,9.1,1
STU_10004,18,48,44,51,1.9,0
STU_10005,15,59,59,48,11.4,1
STU_10006,16,7,44,55,5.3,0
STU_10007,16,53,57,54,7.1,1
STU_10008,16,44,68,65,13.2,1
STU_10009,18,45,74,51,16.0,1
STU_10010,17,36,59,80,11.6,1
STU_10011,16,21,30,36,3.6,0
STU_10012,19,58,60,51,11.3,1
STU_10013,18,49,59,64,11.7,1
STU_10014,15,39,49,58,10.5,0
STU_10015,17,67,58,74,17.5,1
STU_10016,19,39,57,51,8.4,0
STU_10017,19,76,65,50,17.1,1
STU_10018,15,80,61,47,17.0,1
STU_10019,17,54,74,78,11.9,1
STU_10020,18,66,60,52,9.5,1
STU_10021,14,68,59,55,10.5,1
STU_10022,17,71,82,86,19.6,1
STU_10023,15,78,65,56,14.5,1
STU_10024,19,36,37,50,3.9,0
STU_10025,18,34,50,45,10.1,0
STU_10026,17,28,53,36,4.5,0
STU_10027,14,38,53,72,5.2,1
STU_10028,14,52,53,73,6.3,1
STU_10029,16,29,31,59,2.9,0
STU_10030,16,36,53,61,4.3,1
STU_10031,15,55,66,73,18.0,1
STU_10032,17,38,52,43,5.2,0
STU_10033,17,72,50,62,13.0,1
STU_10034,19,55,72,49,8.9,1
STU_10035,19,49,58,29,11.0,0
STU_10036,19,68,52,70,11.3,1
STU_10037,16,43,51,56,4.2,1
STU_10038,17,60,67,45,12.9,1
STU_10039,17,53,50,45,3.4,0
STU_10040,14,41,36,62,5.0,0
STU_10041,16,64,67,59,11.2,1
STU_10042,18,51,41,31,4.0,0
STU_10043,16,37,41,34,1.7,0
STU_10044,18,39,32,76,9.8,0
STU_10045,14,40,37,48,2.5,0
STU_10046,15,68,52,70,11.8,1
STU_10047,17,55,53,72,6.6,1
STU_10048,14,70,48,51,9.8,1
STU_10049,17,48,37,60,9.7,0
STU_10050,19,65,60,37,12.3,1
STU_10051,15,45,54,51,11.4,1
STU_10052,15,44,37,56,4.0,0
STU_10053,14,58,50,50,6.9,1
STU_10054,15,62,36,61,9.7,1
STU_10055,18,67,72,74,17.3,1
STU_10056,15,53,55,64,11.5,1
STU_10057,17,55,62,67,16.4,1
STU_10058,17,51,64,58,10.0,1
STU_10059,17,48,56,55,14.6,1
STU_10060,17,48,55,45,9.3,0
STU_10061,18,43,60,76,14.3,1
STU_10062,16,33,80,61,6.4,0
STU_10063,19,77,72,57,18.4,1
STU_10064,14,62,44,57,10.7,1
STU_10065,17,37,60,33,2.9,0
STU_10066,15,53,64,51,9.9,1
STU_10067,17,58,57,64,11.5,1
STU_10068,15,63,55,62,13.2,1
STU_10069,19,78,60,70,21.9,1
STU_10070,19,32,52,42,5.8,0
STU_10071,19,50,66,57,22.0,1
STU_10072,15,39,42,64,8.0,0
STU_10073,17,42,54,69,4.9,1
STU_10074,19,55,63,58,5.9,1
STU_10075,18,57,51,55,11.1,1
STU_10076,15,48,53,63,4.4,1
STU_10077,15,38,51,43,6.5,0
STU_10078,17,52,57,67,9.8,1
STU_10079,15,69,59,59,18.3,1
STU_10080,15,51,57,53,13.0,1
STU_10081,19,39,40,50,8.2,0
STU_10082,17,53,44,56,11.1,1
STU_10083,19,58,58,65,9.2,1
STU_10084,19,32,39,35,3.6,0
STU_10085,17,69,61,60,20.0,1
STU_10086,14,82,55,68,18.4,1
STU_10087,19,43,35,59,7.6,0
STU_10088,18,46,28,33,6.0,0
STU_10089,18,40,45,40,3.6,0
STU_10090,15,54,30,38,11.5,0
STU_10091,18,72,61,50,11.5,1
STU_10092,15,47,50,45,4.7,0
STU_10093,14,36,52,61,9.3,0
STU_10094,17,73,59,34,12.7,0
STU_10095,17,48,44,58,5.7,1
STU_10096,17,44,52,47,7.1,0
STU_10097,18,61,51,49,7.0,1
STU_10098,14,36,59,61,4.9,1
STU_10099,18,65,65,68,7.2,1
STU_10100,18,41,57,41,2.6,0
STU_10101,14,57,41,45,6.8,0
STU_10102,14,78,57,49,6.9,1
STU_10103,14,51,55,46,7.7,1
STU_10104,14,53,48,41,10.6,0
STU_10105,17,30,35,48,3.4,0
STU_10106,16,41,40,42,3.9,0
STU_10107,16,33,35,51,4.8,0
STU_10108,14,39,29,67,3.2,0
STU_10109,16,84,61,56,11.3,1
STU_10110,16,46,47,43,5.6,0
STU_10111,14,44,51,51,7.8,0
STU_10112,16,41,54,51,4.5,0
STU_10113,18,42,46,50,6.4,0
STU_10114,15,63,62,49,9.6,1
STU_10115,15,52,46,38,9.8,0
STU_10116,14,58,37,56,4.0,1
STU_10117,17,46,50,44,7.6,0
STU_10118,14,41,67,66,4.6,1
STU_10119,17,39,63,49,7.4,1
STU_10120,15,41,57,45,5.3,0
STU_10121,14,55,58,63,20.8,1
STU_10122,19,37,60,61,12.7,1
STU_10123,18,59,62,47,10.1,1
STU_10124,16,30,70,45,6.7,0
STU_10125,17,62,42,66,12.9,1
STU_10126,19,44,58,42,7.7,0
STU_10127,16,80,80,73,19.6,1
STU_10128,16,42,64,69,13.6,1
STU_10129,14,52,35,59,6.3,0
STU_10130,16,71,70,68,18.4,1
STU_10131,18,51,53,33,6.7,0
STU_10132,19,85,74,55,21.4,1
STU_10133,16,70,61,51,18.9,1
STU_10134,14,28,45,51,9.5,0
STU_10135,18,44,47,48,2.6,0
STU_10136,15,55,46,42,9.1,0
STU_10137,19,39,37,47,3.7,0
STU_10138,16,36,45,58,5.4,0
STU_10139,14,41,49,40,5.6,0
STU_10140,15,56,54,40,3.7,1
STU_10141,15,42,41,68,9.1,1
STU_10142,17,27,33,40,5.0,0
STU_10143,18,33,45,56,6.9,0
STU_10144,16,45,29,65,5.7,0
STU_10145,14,71,61,44,10.6,1
STU_10146,17,75,34,44,10.2,0
STU_10147,18,53,56,50,6.6,1
STU_10148,17,45,67,58,10.9,1
STU_10149,19,55,66,55,15.7,1
STU_10150,18,46,22,68,1.5,0
STU_10151,18,58,48,57,5.5,1
STU_10152,16,36,37,41,4.2,0
STU_10153,18,59,34,36,5.2,0
STU_10154,17,35,46,46,1.3,0
STU_10155,18,45,48,51,1.5,0
STU_10156,16,48,52,66,0.7,1
STU_10157,16,31,44,52,5.8,0
STU_10158,19,50,49,49,5.7,0
STU_10159,17,80,82,53,16.9,1
STU_10160,15,45,73,59,8.7,1
STU_10161,15,44,66,68,10.8,1
STU_10162,18,100,91,64,35.0,1
STU_10163,19,39,40,47,1.5,0
STU_10164,14,67,68,56,19.8,1
STU_10165,18,49,58,39,7.8,0
STU_10166,19,29,40,70,6.1,0
STU_10167,17,49,50,61,5.5,1
STU_10168,17,68,57,49,9.7,1
STU_10169,17,39,52,50,6.1,0
STU_10170,17,33,34,45,3.6,0
STU_10171,17,47,50,39,5.7,0
STU_10172,19,81,72,50,9.9,1
STU_10173,19,67,52,67,11.9,1
STU_10174,16,72,74,62,20.9,1
STU_10175,15,51,33,59,8.5,0
STU_10176,17,76,66,57,16.2,1
STU_10177,14,39,52,40,7.1,0
STU_10178,19,55,51,67,7.7,1
STU_10179,14,37,57,30,7.4,0
STU_10180,14,61,50,75,9.1,1
STU_10181,14,56,71,70,13.1,1
STU_10182,16,48,39,54,6.0,0
STU_10183,19,39,59,45,4.4,0
STU_10184,14,67,62,56,13.7,1
STU_10185,17,57,58,62,13.1,1
STU_10186,18,88,52,66,17.6,1
STU_10187,14,59,36,40,5.4,0
STU_10188,16,34,53,53,6.9,0
STU_10189,19,62,53,63,13.9,1
STU_10190,16,53,57,48,5.9,1
STU_10191,14,51,59,82,11.6,1
STU_10192,19,60,35,51,7.1,0
STU_10193,18,63,61,36,9.7,1
STU_10194,14,41,42,38,3.6,0
STU_10195,16,60,51,62,8.4,1
STU_10196,15,12,49,38,0.5,0
STU_10197,17,76,49,51,15.5,1
STU_10198,16,66,47,74,12.4,1
STU_10199,19,32,48,51,4.2,0
STU_10200,14,74,53,60,20.0,1
STU_10201,17,42,56,31,15.0,0
STU_10202,14,34,54,56,3.7,0
STU_10203,19,56,46,51,5.7,1
STU_10204,14,42,30,64,3.9,0
STU_10205,15,52,56,44,9.9,1
STU_10206,17,45,43,47,5.5,0
STU_10207,17,38,34,50,1.8,0
STU_10208,19,59,86,67,7.7,1
STU_10209,15,53,65,62,13.3,1
STU_10210,16,54,49,47,8.5,1
STU_10211,14,43,65,71,11.0,1
STU_10212,18,59,49,51,9.0,1
STU_10213,14,54,52,60,12.2,1
STU_10214,14,52,56,64,9.5,1
STU_10215,16,45,55,70,7.4,1
STU_10216,14,48,61,58,8.5,1
STU_10217,15,57,81,93,18.0,1
STU_10218,15,59,68,56,11.3,1
STU_10219,17,48,53,53,4.2,1
STU_10220,19,37,61,47,8.4,0
STU_10221,18,47,66,59,9.8,1
STU_10222,14,48,57,56,7.3,1
STU_10223,14,32,25,58,1.8,0
STU_10224,16,41,50,55,4.5,0
STU_10225,19,62,62,46,6.1,1
STU_10226,15,63,64,71,21.3,1
STU_10227,18,31,51,49,10.6,0
STU_10228,17,34,42,54,2.6,0
STU_10229,15,45,52,47,7.5,0
STU_10230,19,60,59,48,16.4,1
STU_10231,17,48,47,39,5.5,0
STU_10232,16,50,66,48,14.2,1
STU_10233,16,28,22,42,2.6,0
STU_10234,14,29,40,36,0.6,0
STU_10235,19,56,59,62,15.4,1
STU_10236,18,67,30,47,5.9,0
STU_10237,17,54,47,53,1.9,1
STU_10238,15,29,51,56,6.2,0
STU_10239,19,32,54,51,9.0,0
STU_10240,19,53,61,70,10.4,1
STU_10241,16,56,43,36,1.0,0
STU_10242,14,51,39,62,5.2,1
